Date,Open,High,Low,Close,Volume 
6/11/12 9:31:00 AM -07:00,65.5,65.81,65.28,65.81,3100
6/11/12 9:32:00 AM -07:00,65.6,65.6,65.57,65.57,400
6/11/12 9:33:00 AM -07:00,65.37,65.37,65.29,65.29,900
6/11/12 9:34:00 AM -07:00,65.13,65.13,64.87,64.87,700
6/11/12 9:35:00 AM -07:00,64.87,64.87,64.87,64.87,0
6/11/12 9:36:00 AM -07:00,64.97,65,64.88,64.96,1600
6/11/12 9:37:00 AM -07:00,64.9,64.93,64.82,64.93,900
6/11/12 9:38:00 AM -07:00,64.72,64.72,64.71,64.71,200
6/11/12 9:39:00 AM -07:00,64.71,64.71,64.62,64.62,700
6/11/12 9:40:00 AM -07:00,64.7,64.75,64.7,64.74,1300
6/11/12 9:41:00 AM -07:00,64.7,64.7,64.54,64.54,1100
6/11/12 9:42:00 AM -07:00,64.57,64.62,64.49,64.61,1300
6/11/12 9:43:00 AM -07:00,64.59,64.66,64.59,64.66,600
6/11/12 9:44:00 AM -07:00,64.6,64.67,64.59,64.59,400
6/11/12 9:45:00 AM -07:00,64.58,64.7,64.58,64.63,900
6/11/12 9:46:00 AM -07:00,64.71,64.71,64.64,64.67,900
6/11/12 9:47:00 AM -07:00,64.71,64.83,64.71,64.82,800
6/11/12 9:48:00 AM -07:00,64.71,64.84,64.71,64.8,1700
6/11/12 9:49:00 AM -07:00,64.78,64.84,64.69,64.69,2700
6/11/12 9:50:00 AM -07:00,64.77,64.77,64.68,64.68,300
6/11/12 9:51:00 AM -07:00,64.67,64.68,64.64,64.66,1500
6/11/12 9:52:00 AM -07:00,64.58,64.68,64.58,64.68,1900
6/11/12 9:53:00 AM -07:00,64.7,64.71,64.61,64.61,1300
6/11/12 9:54:00 AM -07:00,64.57,64.68,64.57,64.65,900
6/11/12 9:55:00 AM -07:00,64.63,64.63,64.53,64.53,2600
6/11/12 9:56:00 AM -07:00,64.53,64.53,64.43,64.43,400
6/11/12 9:57:00 AM -07:00,64.39,64.61,64.39,64.61,1000
