Date,Open,High,Low,Close,Volume,Adj Close
2012-06-12,67.67,67.85,67.30,67.72,8987800,67.72
2012-06-11,68.39,68.48,67.47,67.53,10491400,67.53
2012-06-08,66.19,68.23,66.08,68.22,18012600,68.22
2012-06-07,66.08,66.08,65.78,65.87,12546700,65.87
2012-06-06,65.60,65.97,65.46,65.93,10846900,65.93
2012-06-05,65.74,65.90,65.43,65.50,9341000,65.50
2012-06-04,65.90,66.13,65.40,65.99,13876800,65.99
2012-06-01,65.43,65.88,65.13,65.55,15300700,65.55
2012-05-31,65.40,66.66,65.38,65.82,16765500,65.82
2012-05-30,65.41,65.95,65.33,65.44,9979700,65.44
2012-05-29,65.40,65.76,65.21,65.68,10036900,65.68
2012-05-25,64.86,65.50,64.80,65.31,10179900,65.31
2012-05-24,64.71,65.18,64.46,65.07,11302700,65.07
2012-05-23,63.39,64.69,63.29,64.58,15682200,64.58
2012-05-22,62.99,63.95,62.90,63.73,12074400,63.73
2012-05-21,62.38,63.10,62.14,63.04,11149900,63.04
2012-05-18,61.87,62.63,61.76,62.43,16630700,62.43
2012-05-17,61.34,62.50,61.25,61.68,29292400,61.68
2012-05-16,59.53,59.66,59.15,59.19,10838100,59.19
2012-05-15,58.95,59.65,58.95,59.35,10561400,59.35
2012-05-14,59.09,59.55,58.92,59.07,6201000,59.07
2012-05-11,59.08,59.65,58.81,59.42,7473600,59.42
2012-05-10,59.35,59.61,59.09,59.19,7740700,59.19
2012-05-09,58.48,59.24,58.27,59.03,11157600,59.03
2012-05-08,59.06,59.37,58.63,59.05,10273300,58.65
2012-05-07,58.55,59.36,58.55,59.19,8658200,58.79
2012-05-04,58.86,59.18,58.68,58.70,6944500,58.30
2012-05-03,59.20,59.20,58.81,58.99,6891900,58.59
2012-05-02,58.96,59.32,58.82,59.01,7347700,58.61
2012-05-01,58.95,59.27,58.48,59.07,9915700,58.67
2012-04-30,58.82,58.99,58.53,58.91,7482600,58.51
2012-04-27,59.18,59.46,58.94,59.03,9027900,58.63
2012-04-26,57.59,59.43,57.57,58.95,25092900,58.55
2012-04-25,57.91,58.43,57.18,57.36,28011800,56.97
2012-04-24,59.26,59.35,57.65,57.77,30090600,57.38
2012-04-23,59.15,60.24,59.13,59.54,38007300,59.14
2012-04-20,61.70,62.49,61.66,62.45,8997700,62.03
2012-04-19,61.96,62.05,61.47,61.75,6379600,61.33
2012-04-18,61.55,62.25,61.55,62.06,7957300,61.64
2012-04-17,61.11,61.95,61.09,61.87,10676400,61.45
2012-04-16,59.94,60.81,59.87,60.58,6844600,60.17
2012-04-13,60.00,60.21,59.75,59.77,6692600,59.37
2012-04-12,59.80,60.20,59.56,60.14,7367700,59.73
2012-04-11,60.29,60.29,59.66,59.80,7747700,59.40
2012-04-10,60.03,60.39,59.55,59.93,9553100,59.53
2012-04-09,60.22,60.34,60.08,60.13,6831700,59.72
2012-04-05,60.20,60.69,60.07,60.67,6528700,60.26
2012-04-04,60.53,60.59,60.02,60.26,10851700,59.85
2012-04-03,61.14,61.41,60.24,60.65,11180100,60.24
2012-04-02,61.08,61.49,60.97,61.36,6465900,60.95
2012-03-30,61.07,61.42,60.92,61.20,6941400,60.79
2012-03-29,60.77,60.95,60.62,60.82,6691700,60.41
2012-03-28,61.15,61.48,60.98,61.19,7124000,60.78
2012-03-27,61.35,61.50,61.02,61.09,7351600,60.68
2012-03-26,60.90,61.32,60.76,61.20,6214800,60.79
2012-03-23,60.61,60.85,60.41,60.75,6957700,60.34
2012-03-22,60.23,60.77,60.23,60.65,5710800,60.24
2012-03-21,60.45,60.72,60.37,60.56,7302800,60.15
2012-03-20,60.33,60.86,60.29,60.60,7911500,60.19
2012-03-19,60.58,60.88,60.46,60.74,8251900,60.33
2012-03-16,61.41,61.47,60.77,60.84,12077100,60.43
2012-03-15,60.89,61.26,60.78,61.23,6755000,60.82
2012-03-14,60.84,61.15,60.69,61.08,6375000,60.67
2012-03-13,60.93,61.08,60.52,61.00,8734600,60.59
2012-03-12,60.17,60.90,60.09,60.68,7576800,60.27
2012-03-09,59.83,60.20,59.83,60.08,6292900,59.68
2012-03-08,59.84,59.95,59.45,59.77,7795600,59.37
2012-03-07,59.11,59.86,59.11,59.86,14916900,59.06
2012-03-06,59.04,59.22,58.75,58.97,9057100,58.18
2012-03-05,58.96,59.59,58.75,59.40,9651000,58.61
2012-03-02,58.99,59.28,58.80,59.01,9848100,58.22
2012-03-01,59.36,59.42,58.64,58.82,16283900,58.04
2012-02-29,58.84,59.33,58.72,59.08,11484400,58.29
2012-02-28,58.44,59.10,58.35,58.93,10761900,58.14
2012-02-27,58.70,58.78,58.29,58.46,12258800,57.68
2012-02-24,58.75,58.95,58.50,58.79,9925900,58.01
2012-02-23,58.59,58.90,58.21,58.54,14880300,57.76
2012-02-22,59.58,59.90,58.37,58.60,28630200,57.82
2012-02-21,60.33,60.50,59.67,60.07,23894800,59.27
2012-02-17,62.32,62.57,61.91,62.48,8191800,61.65
2012-02-16,61.77,62.19,61.70,62.04,7256400,61.21
2012-02-15,62.32,62.44,61.59,61.76,5833700,60.94
2012-02-14,61.91,62.24,61.79,62.22,5173100,61.39
2012-02-13,62.01,62.08,61.73,61.79,4175000,60.97
2012-02-10,61.68,61.91,61.38,61.90,5501000,61.07
2012-02-09,61.58,62.16,61.58,61.96,6453100,61.13
2012-02-08,61.91,62.02,61.23,61.62,7260000,60.80
2012-02-07,61.62,61.90,61.62,61.69,6084400,60.87
2012-02-06,61.85,61.98,61.70,61.88,5480600,61.05
2012-02-03,62.32,62.43,61.70,62.03,7727200,61.20
2012-02-02,62.40,62.47,61.82,61.94,6211300,61.11
2012-02-01,61.79,62.63,61.79,62.18,12130600,61.35
2012-01-31,61.53,61.57,60.58,61.36,9761500,60.54
2012-01-30,60.47,61.32,60.35,61.30,7636900,60.48
2012-01-27,60.86,61.12,60.54,60.71,6287300,59.90
2012-01-26,61.80,61.84,60.77,60.97,7436200,60.16
2012-01-25,61.18,61.61,61.04,61.47,5915800,60.65
2012-01-24,60.75,62.00,60.75,61.39,7362800,60.57
2012-01-23,60.81,60.98,60.51,60.91,7134100,60.10
2012-01-20,60.75,61.25,60.67,61.01,10378800,60.20
2012-01-19,59.93,60.73,59.75,60.61,9234600,59.80
2012-01-18,59.79,60.03,59.65,60.01,5911400,59.21
2012-01-17,59.87,60.11,59.52,59.85,8500000,59.05
2012-01-13,59.18,59.61,59.01,59.54,7729300,58.75
2012-01-12,59.79,60.00,59.40,59.50,7236400,58.71
2012-01-11,59.06,59.53,59.04,59.40,6365600,58.61
2012-01-10,59.43,59.71,58.98,59.04,6907300,58.25
2012-01-09,59.03,59.55,58.92,59.18,6679300,58.39
2012-01-06,59.42,59.45,58.87,59.00,8069400,58.21
2012-01-05,59.35,59.62,58.37,59.42,12768200,58.63
2012-01-04,60.21,60.35,59.47,59.71,9593300,58.91
2012-01-03,59.97,61.06,59.87,60.33,12668800,59.52
2011-12-30,59.89,59.94,59.69,59.76,4665300,58.96
2011-12-29,59.72,59.99,59.34,59.99,6332200,59.19
2011-12-28,59.77,59.94,59.63,59.73,5241700,58.93
2011-12-27,59.95,59.98,59.66,59.83,4866400,59.03
2011-12-23,59.32,60.00,59.14,59.99,6190600,59.19
2011-12-22,59.41,59.54,59.05,59.19,7901700,58.40
2011-12-21,59.19,59.66,59.16,59.39,8574500,58.60
2011-12-20,58.37,59.27,58.24,59.19,11067400,58.40
2011-12-19,58.30,58.57,57.61,57.78,7235400,57.01
2011-12-16,58.30,58.49,58.09,58.27,14913900,57.49
2011-12-15,57.83,58.40,57.83,57.95,8557400,57.18
2011-12-14,57.72,58.12,57.52,57.65,8984200,56.88
2011-12-13,58.13,58.35,57.42,57.60,10972100,56.83
2011-12-12,57.87,58.44,57.76,58.09,10037100,57.31
2011-12-09,58.16,58.49,57.47,58.32,10058900,57.54
2011-12-08,58.39,58.55,57.87,57.98,10350300,57.21
2011-12-07,58.35,59.20,58.26,58.51,15754600,57.73
2011-12-06,58.57,59.01,58.40,58.78,11401600,57.64
2011-12-05,58.26,58.51,58.00,58.34,10515200,57.20
2011-12-02,58.88,58.97,58.04,58.09,11199100,56.96
2011-12-01,58.64,59.15,58.46,58.61,8787300,57.47
2011-11-30,58.76,59.00,58.31,58.90,14845200,57.75
2011-11-29,57.34,58.30,57.34,58.17,10817200,57.04
2011-11-28,57.53,58.00,57.00,57.25,9288100,56.14
2011-11-25,56.69,57.33,56.69,56.89,4258800,55.78
2011-11-23,56.65,57.00,56.32,56.64,8260400,55.54
2011-11-22,56.56,57.13,56.50,56.85,7497300,55.74
2011-11-21,56.93,57.29,56.38,56.66,9932200,55.56
2011-11-18,57.03,57.36,56.61,57.23,8982300,56.12
2011-11-17,56.54,57.19,56.26,56.73,10223800,55.63
2011-11-16,57.10,57.42,56.64,56.68,11780800,55.58
2011-11-15,57.97,58.05,57.23,57.46,16005900,56.34
2011-11-14,58.81,58.98,58.36,58.89,10552100,57.74
2011-11-11,58.51,59.25,58.38,59.20,8397900,58.05
2011-11-10,58.33,58.49,57.51,58.13,9410000,57.00
2011-11-09,58.53,58.93,57.60,58.05,13946800,56.92
2011-11-08,58.02,59.40,57.85,59.32,20104300,58.16
2011-11-07,57.34,57.96,57.05,57.94,8520100,56.81
2011-11-04,57.08,57.50,56.90,57.50,7006100,56.38
2011-11-03,57.05,57.53,56.60,57.42,9575600,56.30
2011-11-02,56.77,57.19,56.54,56.86,8920300,55.75
2011-11-01,55.82,56.74,55.68,56.23,13788100,55.14
2011-10-31,56.58,57.29,56.58,56.72,9480900,55.62
2011-10-28,57.85,57.87,56.96,57.15,11292800,56.04
2011-10-27,57.80,57.96,57.45,57.81,15325500,56.68
2011-10-26,57.10,57.44,56.60,57.37,12724700,56.25
2011-10-25,56.66,57.15,56.55,56.71,10104300,55.61
2011-10-24,56.88,57.00,56.60,56.78,9279500,55.67
2011-10-21,56.74,57.42,56.65,56.92,14498600,55.81
2011-10-20,56.20,56.88,56.05,56.37,12645800,55.27
2011-10-19,55.71,56.43,55.70,56.25,12985200,55.15
2011-10-18,54.94,56.19,54.81,55.89,14070400,54.80
2011-10-17,54.79,55.46,54.48,54.78,8970200,53.71
2011-10-14,55.28,55.47,54.63,55.46,10706000,54.38
2011-10-13,55.04,55.31,54.72,55.02,10501100,53.95
2011-10-12,55.05,56.39,55.00,55.20,22097300,54.13
2011-10-11,54.78,54.79,54.39,54.72,10213500,53.65
2011-10-10,54.19,55.18,54.19,54.81,12188400,53.74
2011-10-07,53.08,54.03,52.90,53.70,13912900,52.65
2011-10-06,52.74,52.90,52.33,52.75,10021200,51.72
2011-10-05,52.70,53.25,52.13,52.65,13604500,51.62
2011-10-04,51.74,52.98,51.63,52.88,18697500,51.85
2011-10-03,51.88,52.92,51.85,51.96,15500200,50.95
2011-09-30,51.85,52.59,51.71,51.90,13619300,50.89
2011-09-29,51.81,52.40,51.32,51.93,10344400,50.92
2011-09-28,52.12,52.42,51.29,51.31,11460200,50.31
2011-09-27,52.36,52.86,51.80,52.03,11492500,51.02
2011-09-26,50.94,51.85,50.80,51.83,11360600,50.82
2011-09-23,50.18,50.96,50.03,50.80,12703000,49.81
2011-09-22,50.65,51.23,49.94,50.28,21320300,49.30
2011-09-21,52.36,52.59,51.29,51.32,10473900,50.32
2011-09-20,52.44,52.92,52.17,52.29,8421200,51.27
2011-09-19,52.18,52.62,52.04,52.45,9028900,51.43
2011-09-16,52.75,53.15,52.55,52.65,35684600,51.62
2011-09-15,52.22,52.51,51.94,52.51,10999200,51.49
2011-09-14,51.71,52.79,51.58,52.20,12507600,51.18
2011-09-13,51.79,51.80,51.22,51.59,10770800,50.59
2011-09-12,50.85,51.83,50.82,51.82,11229300,50.81
2011-09-09,51.90,52.18,51.20,51.36,12027800,50.36
2011-09-08,52.08,52.75,52.06,52.21,11602500,51.19
2011-09-07,52.05,52.56,51.85,52.42,10403500,51.40
2011-09-06,51.48,51.79,50.87,51.68,17114400,50.67
2011-09-02,52.25,52.64,51.97,52.03,10809500,51.02
2011-09-01,53.20,53.55,52.65,52.65,12492600,51.62
2011-08-31,53.00,53.38,52.86,53.19,13230200,52.15
2011-08-30,52.86,53.13,52.41,52.82,13484200,51.79
2011-08-29,53.11,53.44,53.00,53.19,8477000,52.15
2011-08-26,52.79,53.24,51.95,52.90,10460200,51.87
2011-08-25,53.38,53.49,52.55,52.70,10970800,51.67
2011-08-24,53.02,53.42,52.81,53.37,11395700,52.33
2011-08-23,52.16,53.21,52.13,53.21,17170000,52.17
2011-08-22,52.24,52.64,52.08,52.19,13771300,51.17
2011-08-19,51.49,52.74,51.48,52.30,23035700,51.28
2011-08-18,50.51,51.95,50.31,51.79,25045700,50.78
2011-08-17,51.72,52.18,51.16,51.55,15513400,50.55
2011-08-16,51.44,52.48,51.12,51.92,25595500,50.91
2011-08-15,49.88,50.08,49.29,49.98,14829700,49.01
2011-08-12,50.10,50.31,49.28,49.75,15160400,48.78
2011-08-11,48.85,50.40,48.85,49.73,21599500,48.76
2011-08-10,50.02,50.06,48.31,48.41,27002900,47.47
2011-08-09,49.34,50.91,48.67,50.82,23988900,49.47
2011-08-08,50.80,51.33,48.77,48.92,33042900,47.62
2011-08-05,50.59,50.92,49.59,50.85,27298900,49.50
2011-08-04,50.99,50.99,50.07,50.10,26071200,48.77
2011-08-03,51.76,52.05,51.01,51.28,21455400,49.92
2011-08-02,52.24,52.55,51.67,51.68,15239600,50.31
2011-08-01,52.79,52.99,52.07,52.62,10688000,51.22
2011-07-29,52.78,53.15,52.67,52.71,13193200,51.31
2011-07-28,53.31,53.55,52.97,52.99,8908600,51.59
2011-07-27,53.44,53.75,53.17,53.25,12200100,51.84
2011-07-26,54.03,54.09,53.51,53.59,10931400,52.17
2011-07-25,54.03,54.40,53.95,53.97,8177600,52.54
2011-07-22,54.58,54.72,54.25,54.52,6802500,53.07
2011-07-21,54.00,54.69,53.91,54.47,10610600,53.03
2011-07-20,53.91,53.97,53.60,53.89,8857900,52.46
2011-07-19,53.40,54.03,53.34,53.97,8585400,52.54
2011-07-18,53.41,53.54,53.18,53.32,8219400,51.91
2011-07-15,53.73,53.97,53.46,53.63,10183500,52.21
2011-07-14,53.52,53.70,53.38,53.63,15522100,52.21
2011-07-13,54.07,54.27,53.84,54.02,10153400,52.59
2011-07-12,53.86,54.42,53.76,53.94,9485700,52.51
2011-07-11,53.82,54.08,53.70,53.87,7548400,52.44
2011-07-08,54.25,54.32,53.77,54.08,9133300,52.65
2011-07-07,54.57,54.81,54.19,54.49,12820300,53.05
2011-07-06,53.43,53.95,53.43,53.72,8078200,52.30
2011-07-05,53.34,53.56,53.02,53.39,9212500,51.97
2011-07-01,53.19,53.65,53.00,53.51,9479800,52.09
2011-06-30,52.66,53.16,52.55,53.14,9984300,51.73
2011-06-29,52.62,52.79,52.43,52.64,8866800,51.24
2011-06-28,52.44,52.53,52.14,52.53,10987700,51.14
2011-06-27,52.32,52.76,52.27,52.29,10167000,50.90
2011-06-24,53.19,53.42,52.35,52.41,20767100,51.02
2011-06-23,53.36,53.70,52.67,53.29,18154400,51.88
2011-06-22,53.10,53.29,52.83,53.01,10582500,51.60
2011-06-21,53.10,53.29,52.75,53.29,10891000,51.88
2011-06-20,52.70,53.50,52.70,53.04,15198100,51.63
2011-06-17,53.06,53.29,52.82,52.82,20564300,51.42
2011-06-16,52.46,52.97,52.20,52.83,11743700,51.43
2011-06-15,52.64,52.64,51.79,52.32,15324000,50.93
2011-06-14,52.86,53.26,52.77,52.91,8797400,51.51
2011-06-13,52.62,53.25,52.58,52.62,12545200,51.22
2011-06-10,53.67,53.84,52.69,52.72,14585400,51.32
2011-06-09,53.73,54.23,53.61,53.62,11340800,52.20
2011-06-08,53.61,53.92,53.43,53.69,11660600,52.27
2011-06-07,53.94,54.30,53.77,53.83,9908300,52.40
2011-06-06,53.86,54.19,53.50,53.76,11242300,52.33
2011-06-03,53.15,53.85,53.04,53.66,13287400,52.24
2011-06-02,54.21,54.21,53.15,53.55,14784900,52.13
2011-06-01,54.98,55.17,54.25,54.30,11181600,52.86
2011-05-31,54.88,55.22,54.81,55.22,8901100,53.76
2011-05-27,54.75,55.09,54.62,54.70,5315500,53.25
2011-05-26,54.53,54.70,54.19,54.62,5771700,53.17
2011-05-25,54.56,54.70,54.20,54.56,10197800,53.11
2011-05-24,55.24,55.31,54.61,54.78,12240600,53.33
2011-05-23,54.99,55.50,54.99,55.22,7339400,53.76
2011-05-20,55.55,55.69,55.18,55.29,8798900,53.82
2011-05-19,55.23,55.60,55.04,55.48,7691800,54.01
2011-05-18,55.50,55.54,54.95,55.18,11416100,53.72
2011-05-17,55.56,56.29,55.24,55.54,14590500,54.07
2011-05-16,55.61,56.47,55.48,56.06,14173500,54.57
2011-05-13,55.77,56.03,55.34,55.72,8952500,54.24
2011-05-12,55.24,55.83,54.91,55.72,8950000,54.24
2011-05-11,55.11,55.61,55.04,55.17,9422200,53.71
2011-05-10,55.15,55.60,55.10,55.53,8755100,53.70
2011-05-09,54.97,55.36,54.70,55.10,6546500,53.29
2011-05-06,55.30,55.55,54.86,55.02,8042600,53.21
2011-05-05,55.15,55.60,54.89,55.07,11130100,53.26
2011-05-04,55.31,55.79,55.20,55.37,8163800,53.55
2011-05-03,55.08,55.77,54.96,55.46,11122600,53.63
2011-05-02,55.08,55.08,54.67,55.04,8176700,53.23
2011-04-29,54.41,55.16,54.33,54.98,9815200,53.17
2011-04-28,54.29,54.80,54.28,54.69,9824600,52.89
2011-04-27,53.88,54.61,53.88,54.42,9716100,52.63
2011-04-26,53.39,54.23,53.28,53.91,11991200,52.14
2011-04-25,53.60,53.66,53.23,53.37,5813800,51.61
2011-04-21,53.82,53.93,53.42,53.58,5853300,51.82
2011-04-20,53.75,53.95,53.64,53.69,7400800,51.92
2011-04-19,53.26,53.47,53.10,53.35,6147800,51.59
2011-04-18,53.08,53.65,52.91,53.31,9507400,51.56
2011-04-15,53.55,53.69,53.30,53.55,8714600,51.79
2011-04-14,53.48,53.74,53.22,53.50,7414800,51.74
2011-04-13,53.72,53.96,53.50,53.63,8596300,51.86
2011-04-12,52.69,53.75,52.67,53.52,13416300,51.76
2011-04-11,52.54,52.92,52.40,52.82,7466700,51.08
2011-04-08,53.01,53.15,52.27,52.54,9733300,50.81
2011-04-07,52.85,53.24,52.75,53.00,12167100,51.26
2011-04-06,52.67,53.21,52.67,52.98,8365100,51.24
2011-04-05,52.70,53.19,52.67,52.74,8868400,51.00
2011-04-04,52.31,52.83,52.06,52.65,9220100,50.92
2011-04-01,52.25,52.36,51.92,52.13,7959900,50.41
2011-03-31,52.15,52.32,51.89,52.05,10899700,50.34
2011-03-30,52.53,52.74,52.08,52.36,8553400,50.64
2011-03-29,52.05,52.38,52.04,52.26,8709700,50.54
2011-03-28,52.31,52.50,52.01,52.19,8354700,50.47
2011-03-25,52.56,52.67,52.28,52.35,7612600,50.63
2011-03-24,51.83,52.95,51.77,52.59,15069300,50.86
2011-03-23,51.85,51.88,51.38,51.64,13529000,49.94
2011-03-22,51.97,52.14,51.79,52.00,8428000,50.29
2011-03-21,51.73,52.00,51.68,51.92,8716700,50.21
2011-03-18,51.63,51.89,51.25,51.52,11805200,49.82
2011-03-17,51.74,51.87,51.04,51.37,10882700,49.68
2011-03-16,51.52,51.87,50.97,51.38,16404800,49.69
2011-03-15,51.77,52.35,51.38,52.06,13856600,50.35
2011-03-14,52.35,52.52,52.06,52.32,10216400,50.60
2011-03-11,52.64,52.95,52.14,52.59,14539300,50.86
2011-03-10,52.35,53.88,52.26,52.65,18311300,50.92
2011-03-09,52.27,52.84,52.22,52.67,11383000,50.94
2011-03-08,52.10,52.54,52.01,52.44,11915500,50.36
2011-03-07,52.26,52.29,51.75,52.02,13031200,49.96
2011-03-04,52.40,52.49,51.73,52.07,15726000,50.01
2011-03-03,52.19,52.27,51.70,52.01,12514000,49.95
2011-03-02,52.27,52.37,51.72,51.97,11144200,49.91
2011-03-01,52.16,52.60,51.95,52.07,17644000,50.01
2011-02-28,51.75,52.43,51.68,51.98,17901500,49.92
2011-02-25,52.09,52.17,51.52,51.75,20322800,49.70
2011-02-24,53.13,53.17,51.88,52.09,23538700,50.02
2011-02-23,53.46,53.60,52.90,53.03,20118600,50.93
2011-02-22,53.81,54.01,52.95,53.67,28696600,51.54
2011-02-18,54.68,55.57,54.50,55.38,19974600,53.18
2011-02-17,54.52,54.90,54.35,54.75,8539000,52.58
2011-02-16,54.90,55.20,54.43,54.55,15397100,52.39
2011-02-15,54.78,55.05,54.51,54.95,11330700,52.77
2011-02-14,55.26,55.31,54.67,54.80,16273900,52.63
2011-02-11,55.53,55.88,55.31,55.69,9582500,53.48
2011-02-10,56.15,56.16,55.30,55.59,15762000,53.39
2011-02-09,56.26,56.73,56.10,56.73,8581300,54.48
2011-02-08,56.10,56.47,55.95,56.38,8819400,54.14
2011-02-07,56.07,56.24,55.83,56.07,6720700,53.85
2011-02-04,56.04,56.10,55.67,56.03,7106000,53.81
2011-02-03,55.92,56.04,55.39,55.92,11283600,53.70
2011-02-02,56.16,56.18,55.65,55.86,14038600,53.65
2011-02-01,56.37,56.58,55.91,56.33,12851600,54.10
2011-01-31,56.45,56.56,55.70,56.07,15688500,53.85
2011-01-28,57.69,57.90,56.50,56.70,14598200,54.45
2011-01-27,57.46,57.79,57.02,57.57,10173200,55.29
2011-01-26,57.39,57.75,57.00,57.32,13211200,55.05
2011-01-25,56.12,57.29,55.80,57.26,20481100,54.99
2011-01-24,55.39,56.05,55.30,56.05,11074200,53.83
2011-01-21,56.15,56.24,55.38,55.73,12958800,53.52
2011-01-20,55.12,56.27,55.12,55.99,19612500,53.77
2011-01-19,55.04,55.15,54.71,55.03,9895000,52.85
2011-01-18,55.11,55.40,54.75,55.14,10534200,52.95
2011-01-14,54.73,54.99,54.42,54.81,9285600,52.64
2011-01-13,54.70,55.36,54.69,54.79,12865600,52.62
2011-01-12,54.52,55.32,54.34,54.85,13553300,52.68
2011-01-11,53.95,54.52,53.73,54.29,12023400,52.14
2011-01-10,53.65,54.11,53.54,53.73,10479300,51.60
2011-01-07,53.89,54.15,53.76,54.08,7968600,51.94
2011-01-06,54.31,54.38,53.78,53.96,15585500,51.82
2011-01-05,54.75,55.07,54.32,54.41,14215600,52.25
2011-01-04,54.61,54.88,54.28,54.77,12154400,52.60
2011-01-03,54.23,54.80,54.15,54.56,14298300,52.40
2010-12-31,53.97,54.25,53.79,53.93,7093900,51.79
2010-12-30,54.00,54.19,53.84,54.07,6303800,51.93
2010-12-29,53.57,54.26,53.57,54.08,7628700,51.94
